frame_id,timestamp,rgb_path,semantic_path,x,y,yaw,terrain,landmarks
0,0.0,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000000.jpg,,0.0,0.0,0.0,grass,
1,0.25,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000001.jpg,,0.20202,0.0,0.0,grass,
2,0.5,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000002.jpg,,0.40404,0.0,0.0,grass,
3,0.75,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000003.jpg,,0.606061,0.0,0.0,grass,
4,1.0,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000004.jpg,,0.808081,0.0,0.0,grass,
5,1.25,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000005.jpg,,1.010101,0.0,0.0,grass,
6,1.5,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000006.jpg,,1.212121,0.0,0.0,grass,
7,1.75,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000007.jpg,,1.414141,0.0,0.0,grass,
8,2.0,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000008.jpg,,1.616162,0.0,0.0,grass,
9,2.25,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000009.jpg,,1.818182,0.0,0.0,grass,
10,2.5,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000010.jpg,,2.020202,0.0,0.0,grass,
11,2.75,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000011.jpg,,2.222222,0.0,0.0,grass,
12,3.0,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000012.jpg,,2.424242,0.0,0.0,grass,
13,3.25,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000013.jpg,,2.626263,0.0,0.0,grass,
14,3.5,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000014.jpg,,2.828283,0.0,0.0,grass,
15,3.75,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000015.jpg,,3.030303,0.0,0.0,grass,
16,4.0,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000016.jpg,,3.232323,0.0,0.0,grass,
17,4.25,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000017.jpg,,3.434343,0.0,0.0,grass,
18,4.5,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000018.jpg,,3.636364,0.0,0.0,grass,
19,4.75,D:\Instruct-Nav\outputs\demo_folder_pose\frames\000019.jpg,,3.838384,0.0,0.0,grass,
