frame_id,timestamp,rgb_path,semantic_path,x,y,yaw,terrain,landmarks
0,0.0,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000000.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000000.png,0.0,0.0,0.0,,
1,0.25,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000001.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000001.png,0.20202,0.0,0.0,,
2,0.5,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000002.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000002.png,0.40404,0.0,0.0,,
3,0.75,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000003.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000003.png,0.606061,0.0,0.0,,
4,1.0,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000004.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000004.png,0.808081,0.0,0.0,,
5,1.25,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000005.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000005.png,1.010101,0.0,0.0,,
6,1.5,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000006.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000006.png,1.212121,0.0,0.0,,
7,1.75,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000007.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000007.png,1.414141,0.0,0.0,,
8,2.0,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000008.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000008.png,1.616162,0.0,0.0,,
9,2.25,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000009.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000009.png,1.818182,0.0,0.0,,
10,2.5,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000010.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000010.png,2.020202,0.0,0.0,,
11,2.75,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000011.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000011.png,2.222222,0.0,0.0,,
12,3.0,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000012.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000012.png,2.424242,0.0,0.0,,
13,3.25,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000013.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000013.png,2.626263,0.0,0.0,,
14,3.5,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000014.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000014.png,2.828283,0.0,0.0,,
15,3.75,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000015.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000015.png,3.030303,0.0,0.0,,
16,4.0,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000016.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000016.png,3.232323,0.0,0.0,,
17,4.25,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000017.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000017.png,3.434343,0.0,0.0,,
18,4.5,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000018.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000018.png,3.636364,0.0,0.0,,
19,4.75,D:\Instruct-Nav\outputs\demo_manifest_indexed\frames\000019.jpg,D:\Instruct-Nav\outputs\demo_manifest_indexed\masks\000019.png,3.838384,0.0,0.0,,
