frame_id,timestamp,rgb_path,semantic_path,x,y,yaw,terrain,landmarks
0,0.0,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000000-1581624652_750.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000000-1581624652_750.png,0.271283,-0.478529,2.08876339,,
1,0.1,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000001-1581624652_849.jpg,,0.271283,-0.478529,2.08876339,,
2,0.2,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000002-1581624652_949.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000002-1581624652_949.png,0.264745,-0.467083,2.08877134,,
3,0.3,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000003-1581624653_049.jpg,,0.258211,-0.455645,2.0887793,,
4,0.4,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000004-1581624653_150.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000004-1581624653_150.png,0.25168,-0.444212,2.08878774,,
5,0.5,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000005-1581624653_249.jpg,,0.245151,-0.432782,2.0887957,,
6,0.6,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000006-1581624653_349.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000006-1581624653_349.png,0.238631,-0.421368,2.08880278,,
7,0.7,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000007-1581624653_449.jpg,,0.232112,-0.409956,2.08881123,,
8,0.8,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000008-1581624653_549.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000008-1581624653_549.png,0.228123,-0.402461,2.08879769,,
9,0.9,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000009-1581624653_649.jpg,,0.224132,-0.394961,2.08878328,,
10,1.0,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000010-1581624653_749.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000010-1581624653_749.png,0.220142,-0.387465,2.08876974,,
11,1.1,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000011-1581624653_849.jpg,,0.216155,-0.379974,2.08875533,,
12,1.2,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node/Rellis-3D/00000/pylon_camera_node/frame000012-1581624653_949.jpg,/home/song/Outdoor-VLN/data/Rellis_3D_pylon_camera_node_label_id/Rellis-3D/00000/pylon_camera_node_label_id/frame000012-1581624653_949.png,0.212169,-0.372484,2.08874179,,
